ID IMDB;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL
nm1305105;Beth Hall;;;/name/nm1305105?ref_=tt_cl_t_4
nm0001209;William Fichtner;27/11/1956;Mitchell Field Air Force Base, East Meadow, Long Island, New York, USA;/name/nm0001209?ref_=tt_cl_t_6
nm0001629;Kevin Pollak;30/10/1957;San Francisco, California, USA;/name/nm0001629?ref_=tt_cl_t_16
nm3905909;Blake Garrett Rosenthal;;;/name/nm3905909?ref_=tt_cl_t_9
nm0267506;Anna Faris;29/11/1976;Baltimore, Maryland, USA;/name/nm0267506?ref_=tt_cl_t_2
nm0891647;Miles J.D. Vedder;;;/name/nm0891647?ref_=tt_cl_t_18
nm0448252;Mimi Kennedy;25/09/1948;Rochester, New York, USA;/name/nm0448252?ref_=tt_cl_t_3
nm0766005;Will Sasso;24/05/1975;Ladner, British Columbia, Canada;/name/nm0766005?ref_=tt_cl_t_17
nm1638022;Spencer Daniels;23/12/1992;Tarzana, California, USA;/name/nm1638022?ref_=tt_cl_t_11
nm0425616;Lauri Johnson;27/12/1949;Santa Monica, California, USA;/name/nm0425616?ref_=tt_cl_t_15
nm0005049;Allison Janney;19/11/1959;Boston, Massachusetts, USA;/name/nm0005049?ref_=tt_cl_t_1
nm0829390;French Stewart;20/02/1964;Albuquerque, New Mexico, USA;/name/nm0829390?ref_=tt_cl_t_12
nm3970180;Sadie Calvano;08/04/1997;Los Angeles, California, USA;/name/nm3970180?ref_=tt_cl_t_10
nm0005326;Jaime Pressly;30/07/1977;Kinston, North Carolina, USA;/name/nm0005326?ref_=tt_cl_t_5
nm0005060;Kristen Johnston;20/09/1967;Washington, District of Columbia, USA;/name/nm0005060?ref_=tt_cl_t_7
nm0000412;Andy Garcia;12/04/1956;Havana, Cuba;/name/nm0000412?ref_=tt_cl_t_5
nm0249283;Chris Edgerly;06/08/1969;Silver Spring, Maryland, USA;/name/nm0249283?ref_=tt_cl_t_18
nm4563780;Aurora Perrineau;;;/name/nm4563780?ref_=tt_cl_t_10
nm6486546;Kristin Brock;;;/name/nm6486546?ref_=tt_cl_t_13
nm8642987;Desmond Reid;;;/name/nm8642987?ref_=tt_cl_t_16
nm2225369;Jennifer Lawrence;15/08/1990;Louisville, Kentucky, USA;/name/nm2225369?ref_=tt_cl_t_1
nm0307779;Emma Clarke;;;/name/nm0307779?ref_=tt_cl_t_17
nm0790688;Michael Sheen;05/02/1969;Newport, Gwent, Wales, UK;/name/nm0790688?ref_=tt_cl_t_3
nm2124713;Lauren Farmer;;;/name/nm2124713?ref_=tt_cl_t_11
nm5700607;Kara Flowers;28/12/1984;Kansas, USA;/name/nm5700607?ref_=tt_cl_t_7
nm3562253;Conor Brophy;;;/name/nm3562253?ref_=tt_cl_t_8
nm2365632;Vince Foster;;;/name/nm2365632?ref_=tt_cl_t_6
nm8642985;Emerald Mayne;;;/name/nm8642985?ref_=tt_cl_t_12
nm0000401;Laurence Fishburne;30/07/1961;Augusta, Georgia, USA;/name/nm0000401?ref_=tt_cl_t_4
nm2410458;Julee Cerda;29/01/1978;Seoul, South Korea;/name/nm2410458?ref_=tt_cl_t_9
